UserID,SessionID,BrowserType,OperatingSystem,DeviceType,NumItemsInCart,CartTotalAmount,TimeSpentOnSiteMinutes,HasCouponApplied,IsReturningCustomer,LastPageViewedCategory,AbandonmentReason
8986,311935,Edge,MacOS,Tablet,2,87.96,7.39,False,True,Clothing,Found Better Price
1937,207006,Opera,MacOS,Desktop,1,120.0,11.37,False,False,Beauty,Payment Issues
3194,779500,Edge,iOS,Desktop,6,150.12,6.8,True,False,Electronics,Found Better Price
5125,980665,Opera,iOS,Mobile,3,88.2,7.52,True,True,Electronics,Distraction
7250,595333,Edge,Linux,Tablet,4,64.19,3.75,True,False,Books,High Shipping Cost
9581,130657,Firefox,Windows,Mobile,0,147.66,8.4,False,True,Electronics,High Shipping Cost
9162,605036,Safari,MacOS,Tablet,1,59.15,12.2,False,True,Clothing,High Shipping Cost
7549,639034,Firefox,Linux,Mobile,2,10.61,14.22,True,False,Books,Found Better Price
8178,826787,Safari,MacOS,Mobile,2,36.37,10.74,False,False,HomeGoods,High Shipping Cost
9538,598408,Firefox,Windows,Mobile,7,10.29,6.73,False,True,Beauty,Payment Issues
9310,452211,Chrome,MacOS,Desktop,3,90.01,9.4,True,False,Clothing,No Abandonment
9054,594722,Edge,Android,Desktop,3,35.51,6.6,False,False,Electronics,Found Better Price
5615,280566,Edge,iOS,Tablet,2,241.16,8.48,False,False,HomeGoods,High Shipping Cost
3466,500961,Chrome,MacOS,Desktop,6,38.73,9.55,False,True,HomeGoods,No Abandonment
9775,494639,Chrome,Windows,Mobile,2,23.98,3.87,False,False,Beauty,High Shipping Cost
3759,933737,Opera,Windows,Desktop,5,87.27,10.3,False,True,Books,Payment Issues
2708,604107,Firefox,Android,Desktop,2,17.98,9.28,False,True,Electronics,No Abandonment
6408,386865,Edge,Windows,Tablet,4,13.5,5.76,False,True,Toys,Payment Issues
7377,356769,Opera,Android,Mobile,5,65.15,2.02,False,False,HomeGoods,No Abandonment
7404,310859,Edge,Linux,Desktop,2,56.82,8.62,True,True,HomeGoods,High Shipping Cost
8076,600627,Chrome,MacOS,Desktop,3,20.8,10.1,True,False,Clothing,No Abandonment
7221,588247,Opera,Windows,Tablet,1,19.16,7.01,False,False,Books,No Abandonment
5837,565399,Opera,iOS,Tablet,3,71.45,7.03,False,True,Toys,Found Better Price
9863,527895,Opera,MacOS,Mobile,3,125.3,9.68,False,False,Electronics,Distraction
2685,984327,Firefox,Android,Tablet,2,54.52,6.09,False,False,Electronics,Payment Issues
3485,556854,Opera,MacOS,Mobile,3,57.87,10.06,True,False,Clothing,No Abandonment
8940,914709,Edge,MacOS,Mobile,0,57.7,7.17,False,False,Toys,Found Better Price
4601,953307,Firefox,Windows,Desktop,2,72.81,8.68,False,True,Electronics,High Shipping Cost
2453,741222,Edge,iOS,Desktop,6,27.34,9.01,True,True,HomeGoods,High Shipping Cost
4206,507980,Opera,Linux,Desktop,1,70.48,12.69,False,True,Beauty,Found Better Price
7712,303054,Opera,iOS,Desktop,3,139.27,8.82,True,True,HomeGoods,No Abandonment
3990,620013,Edge,Android,Desktop,4,58.85,5.28,True,True,Clothing,Distraction
8546,872999,Safari,iOS,Mobile,3,102.06,6.41,False,True,Electronics,No Abandonment
2350,247953,Opera,iOS,Desktop,1,166.87,6.4,False,False,Clothing,No Abandonment
7342,700964,Opera,Android,Desktop,3,104.27,9.55,True,False,Beauty,Distraction
8338,281014,Firefox,iOS,Desktop,0,123.99,7.82,True,False,Clothing,Distraction
6434,341768,Edge,Linux,Mobile,4,117.32,7.97,True,True,Books,High Shipping Cost
4949,370345,Opera,MacOS,Tablet,2,112.22,11.57,False,False,Electronics,Found Better Price
2279,345360,Edge,Linux,Tablet,2,26.85,10.64,True,False,Electronics,No Abandonment
6998,348858,Firefox,MacOS,Desktop,2,118.6,7.14,False,False,Clothing,Payment Issues
1820,124568,Edge,MacOS,Tablet,2,54.61,13.17,True,False,Clothing,No Abandonment
7119,786690,Edge,iOS,Mobile,5,88.27,14.77,False,True,Beauty,High Shipping Cost
3295,889248,Firefox,MacOS,Desktop,3,62.93,5.47,False,False,HomeGoods,Payment Issues
1003,395238,Opera,Android,Mobile,3,160.13,6.4,False,False,Books,Found Better Price
